x_center_mm,y_center_mm,entries,mean_adc_per_mev,standard_error
-7.5,3.5,3,105.286153,1.020585616
-7.5,4.5,5,102.9708047,1.932055939
-7.5,5.5,7,98.31085908,1.834245266
-7.5,6.5,2,95.93153619,1.301338619
-7.5,7.5,1,97.23871552,0
-7.5,8.5,4,97.92003563,2.297740819
-7.5,9.5,4,95.09038887,1.731828864
-7.5,10.5,2,84.39656278,2.037005319
-7.5,11.5,7,90.59100571,1.179929508
-7.5,12.5,4,84.11777281,2.73692822
-7.5,13.5,6,88.33341304,1.93446745
-7.5,14.5,2,79.07725295,1.472275605
-7.5,15.5,5,84.19780899,0.7785696629
-7.5,16.5,3,82.63524343,0.8107911858
-7.5,17.5,4,79.4439056,0.6779793719
-7.5,18.5,3,80.65350346,0.6227544863
-7.5,19.5,4,85.02777189,1.703607856
-6.5,-19.5,3,86.49171652,2.28483461
-6.5,-18.5,2,84.2654778,0.5167671673
-6.5,-17.5,3,82.64665041,2.429328261
-6.5,-16.5,6,83.79860599,1.365272363
-6.5,-15.5,1,87.81379746,0
-6.5,-14.5,2,85.86077461,3.508816407
-6.5,-13.5,3,83.44077487,1.64498853
-6.5,-12.5,9,88.87842219,1.475071398
-6.5,-11.5,4,89.88190701,1.40499946
-6.5,-10.5,3,90.94802188,1.234678768
-6.5,-9.5,0,0,0
-6.5,-8.5,3,98.58972537,0.6909218196
-6.5,-7.5,1,99.89477508,0
-6.5,-6.5,3,97.26496474,0.7469023872
-6.5,-5.5,3,102.4583147,2.215555613
-6.5,-4.5,2,105.8788061,0.4947364794
-6.5,-3.5,2,101.294727,1.247647717
-6.5,-2.5,2,107.745245,0.07804238406
-6.5,-1.5,1,97.39998637,0
-6.5,-0.5,3,112.7702437,0.7601117046
-6.5,0.5,1,116.235076,0
-6.5,1.5,3,111.1838276,1.961093855
-6.5,2.5,7,105.028,1.943725476
-6.5,3.5,4,100.8971988,1.976493242
-6.5,4.5,7,102.7323612,1.401219497
-6.5,5.5,4,97.08075869,1.306350188
-6.5,6.5,5,99.26355953,1.303659149
-6.5,7.5,1,103.9579944,0
-6.5,8.5,2,94.63500042,0.3053286004
-6.5,9.5,0,0,0
-6.5,10.5,4,92.7343821,0.596081623
-6.5,11.5,2,90.34966002,3.742299474
-6.5,12.5,1,85.44284537,0
-6.5,13.5,2,85.58372012,2.056487403
-6.5,14.5,6,84.7096036,0.5652730588
-6.5,15.5,5,84.79450365,2.87153667
-6.5,16.5,3,81.74471535,1.140889837
-6.5,17.5,2,90.74516441,1.864119658
-6.5,18.5,5,80.8319429,1.145204801
-6.5,19.5,6,83.93995965,1.079731919
-5.5,-19.5,2,86.01650682,1.41057742
-5.5,-18.5,2,85.25155123,2.192290896
-5.5,-17.5,5,84.26830163,2.592311121
-5.5,-16.5,2,86.66146148,1.413874958
-5.5,-15.5,4,88.27913149,0.8025772279
-5.5,-14.5,3,89.06054877,1.388550831
-5.5,-13.5,4,85.67139974,1.832594843
-5.5,-12.5,6,84.84826953,1.34402481
-5.5,-11.5,2,87.20459706,1.629354878
-5.5,-10.5,4,92.64952069,2.344359965
-5.5,-9.5,6,94.90209744,2.65031617
-5.5,-8.5,5,91.41528318,1.672845622
-5.5,-7.5,4,95.10500694,0.9122285621
-5.5,-6.5,2,106.4238499,0.6941457061
-5.5,-5.5,2,111.7092493,0.7608193844
-5.5,-4.5,2,106.8487223,0.1494132196
-5.5,-3.5,1,103.6021738,0
-5.5,-2.5,2,112.8301071,2.333617188
-5.5,-1.5,3,114.8597337,2.524518234
-5.5,-0.5,1,121.2880703,0
-5.5,0.5,5,115.4992571,4.453765618
-5.5,1.5,3,114.2469251,1.70654656
-5.5,2.5,5,113.226859,1.773127959
-5.5,3.5,4,112.0660529,0.6145485254
-5.5,4.5,5,113.6084151,5.684862011
-5.5,5.5,2,101.324055,2.456597949
-5.5,6.5,1,112.5602841,0
-5.5,7.5,9,100.3599169,1.834929749
-5.5,8.5,5,96.01566603,0.9500784949
-5.5,9.5,3,93.26496713,1.468910078
-5.5,10.5,5,93.54796692,2.534682091
-5.5,11.5,6,91.29731058,2.739117143
-5.5,12.5,2,89.93352608,3.519700636
-5.5,13.5,5,88.46575614,1.829005174
-5.5,14.5,1,80.20059486,0
-5.5,15.5,4,83.90017494,1.616321167
-5.5,16.5,5,87.38825846,1.896470485
-5.5,17.5,3,83.21811624,1.772478698
-5.5,18.5,4,84.99975497,1.008780605
-5.5,19.5,6,80.10428603,1.884988074
-4.5,-19.5,4,82.78119418,0.8801933926
-4.5,-18.5,4,80.63826107,2.649514525
-4.5,-17.5,2,81.86444469,0.9215169579
-4.5,-16.5,1,81.06033151,0
-4.5,-15.5,0,0,0
-4.5,-14.5,2,85.75310088,2.589128568
-4.5,-13.5,5,88.05563898,2.068070593
