x_center_mm,y_center_mm,entries,mean_adc_per_mev,standard_error
7.5,-0.5,12,202.5735043,3.097113987
7.5,0.5,11,204.3092666,2.703677601
7.5,1.5,10,204.6086205,2.483685866
7.5,2.5,10,207.2131887,3.515060278
7.5,3.5,17,204.3704999,1.809845442
7.5,4.5,13,203.3680473,2.325925144
7.5,5.5,13,199.2301931,2.544549163
7.5,6.5,2,193.990247,3.049960025
7.5,7.5,15,194.5228251,3.065612056
7.5,8.5,12,190.9726683,1.515279171
7.5,9.5,14,191.0403659,1.830531155
8.5,-9.5,13,190.4027308,2.791315454
8.5,-8.5,14,191.4782751,1.733399872
8.5,-7.5,12,190.7505944,2.124476722
8.5,-6.5,20,196.857557,1.52531428
8.5,-5.5,14,196.7441105,1.769807193
8.5,-4.5,8,195.7845249,2.100377406
8.5,-3.5,6,207.7111591,6.023243906
8.5,-2.5,14,204.1814587,2.332934252
8.5,-1.5,11,203.7369489,2.350016247
8.5,-0.5,11,199.276007,2.055995248
8.5,0.5,19,206.4296635,2.915774353
8.5,1.5,12,200.2569819,3.471344548
8.5,2.5,13,200.1888985,2.638275882
8.5,3.5,10,202.0462795,2.944020378
8.5,4.5,17,198.6985867,2.147083135
8.5,5.5,10,201.5900996,3.965156493
8.5,6.5,8,193.1776236,3.018128432
8.5,7.5,17,193.6008263,1.892435165
8.5,8.5,11,192.2951397,2.442303192
8.5,9.5,6,189.3505015,4.880831624
9.5,-9.5,11,192.1386754,3.1465058
9.5,-8.5,10,192.8852344,1.746821021
9.5,-7.5,7,189.2667236,3.375889462
9.5,-6.5,12,190.128865,2.141912296
9.5,-5.5,19,192.8956021,1.964145286
9.5,-4.5,16,196.3079967,2.406896476
9.5,-3.5,7,204.0409793,4.401939711
9.5,-2.5,13,199.4835419,2.442395549
9.5,-1.5,8,200.9792024,3.265492052
9.5,-0.5,14,200.9353302,2.205361882
9.5,0.5,13,202.3642027,2.676368055
9.5,1.5,17,201.1895078,1.930666817
9.5,2.5,8,200.5154636,3.990373204
9.5,3.5,16,201.3795847,2.167559355
9.5,4.5,7,196.8510054,2.586574265
9.5,5.5,7,190.5510327,1.613794662
9.5,6.5,13,191.2397586,1.664661495
9.5,7.5,13,193.4274901,1.911856106
9.5,8.5,12,189.3039984,3.235516168
9.5,9.5,14,191.0601936,2.085413439
